订单id,订单编号,下单国家,店铺名,订单拥有账户,买家昵称,创建时间,买家留言,订单状态,出单汇率,平台佣金,交易费用,服务费,优惠券,预估运费,实际运费,税费,退款,其他费用,总费用,商品收入,运费收入,平台补贴,其他收入,总收入,订单实际收入（订单总收入-订单总费用）,购买的商品
58588,230306PK3AP0Y3,TH,dx795.th,0010,saravanee39,2023-03-06 12:33:50,,已申请跟踪单号,0.204,4.0,2.0,4.0,0.0,35.0,0.0,0.0,0.0,0.0,10.0,66.0,0.0,22.0,0.0,88.0,56.0,"[['HJ0864-1 Pcs Smile face', 'https://th.xiapibuy.com/product/822398156/20025705750', 2], ['HJ0864-1 Pcs Big eyes', 'https://th.xiapibuy.com/product/822398156/20025705750', 1]]"
58587,230306PJYER7C2,VN,pet795.vn,0010,khongthem,2023-03-06 12:31:40,,货到付款,0.000286,3029.0,2010.0,0.0,0.0,20400.0,0.0,0.0,0.0,0.0,5039.0,45898.0,15000.0,0.0,0.0,60898.0,55859.0,"[['GD6514-light blue', 'https://vn.xiapibuy.com/product/841366633/20137552929', 2]]"
58579,230306PFH9YXVN,MX,dx795.mx,0010,tarunnatunn,2023-03-06 11:30:04,,已申请跟踪单号,0.3572,6.42,2.08,0.0,0.0,65.0,0.0,0.0,0.0,0.0,8.5,64.18,40.0,0.0,0.0,104.18,95.68,"[['HA6917-A', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1]]"
58576,230306PETM6V9A,MX,dx795.mx,0010,tor_ga,2023-03-06 11:17:23,,已申请跟踪单号,0.3572,6.42,2.08,0.0,0.0,65.0,0.0,0.0,0.0,0.0,8.5,64.18,40.0,0.0,0.0,104.18,95.68,"[['HA6917-C', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1]]"
58563,230306PB5EB6SH,MX,dx795.mx,0010,84eaq6vxt6,2023-03-06 10:11:50,,已申请跟踪单号,0.3572,3.66,0.73,0.0,0.0,60.0,0.0,0.0,0.0,0.0,4.39,36.55,0.0,40.0,0.0,76.55,32.16,"[['', 'https://mx.xiapibuy.com/product/822398749/20825718282', 1]]"
58560,230306PATEFUUA,CO,pet795.co,0010,jukilop_1313,2023-03-06 10:05:41,,线上支付,0.001432,2168.0,612.0,1301.0,0.0,7950.0,0.0,0.0,0.0,0.0,4081.0,25796.0,4800.0,0.0,0.0,30596.0,22396.0,"[['GA0073-Red-XS', 'https://co.xiapibuy.com/product/843457396/19535236877', 1]]"
58556,230306P9TXDSMS,MX,dx795.mx,0010,jacquelinegarciamtz,2023-03-06 09:48:05,,已申请跟踪单号,0.3572,7.09,2.22,0.0,0.0,65.0,0.0,0.0,0.0,0.0,9.31,70.91,40.0,0.0,0.0,110.91,101.6,"[['', 'https://mx.xiapibuy.com/product/822398749/20825718282', 2]]"
58552,230306P8350PS8,BR,dx795.br,0010,pablosantos554,2023-03-06 09:16:52,,已作废,1.3153,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,99.99,0.0,0.0,0.0,99.99,0.0,"[['HA9585-Blue-45cm/0.48kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
58540,230306P5TUHRNY,MX,dx795.mx,0010,40lpgeycx1,2023-03-06 08:36:27,,已申请跟踪单号,0.3572,12.45,3.29,0.0,0.0,85.0,0.0,0.0,0.0,0.0,15.74,124.5,40.0,0.0,0.0,164.5,148.76,"[['HA6917-A', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1], ['HA6917-E', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1]]"
58537,230306P38Q5GTX,VN,pet795.vn,0010,6yd4gokqn3,2023-03-06 07:50:32,,货到付款,0.000286,1561.0,1342.0,0.0,0.0,19700.0,0.0,0.0,0.0,0.0,2903.0,23659.0,17000.0,0.0,0.0,40659.0,37756.0,"[['GD6514-Black', 'https://vn.xiapibuy.com/product/841366633/20137552929', 1]]"
58534,230306P1CHN4E5,BR,dx795.br,0010,gabrielpeao,2023-03-06 07:16:51,,已申请跟踪单号,1.3153,7.68,1.92,5.76,4.0,62.0,0.0,0.0,0.0,0.0,19.36,99.99,0.0,13.0,0.0,112.99,80.63,"[['HA9585-Blue-45cm/0.48kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
58522,230306NVJ6K3DX,BR,dx795.br,0010,fernandamdt,2023-03-06 05:50:32,,已申请跟踪单号,1.3153,4.32,1.08,3.24,2.0,42.6,0.0,0.0,0.0,0.0,10.64,55.99,0.0,17.0,0.0,72.99,45.35,"[['HA9585-Blue-30cm/0.22kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
58512,230306NSFYA47R,CO,DX -Juguetes para niños,0010,mtrvmfg1gm,2023-03-06 04:55:36,,已申请跟踪单号,0.001432,6118.0,1456.0,3671.0,0.0,39300.0,0.0,0.0,0.0,0.0,11245.0,72805.0,0.0,8000.0,0.0,80805.0,49936.0,"[['HI5383-37 Key Electronic Keyboard', 'https://co.xiapibuy.com/product/830824436/19154552130', 1]]"
58511,230306NS6D627Y,CO,DX -Juguetes para niños,0010,mtrvmfg1gm,2023-03-06 04:50:16,,线上支付,0.001432,6118.0,1456.0,3671.0,0.0,31300.0,0.0,0.0,0.0,0.0,11245.0,72805.0,0.0,0.0,0.0,72805.0,49936.0,"[['HI5383-37 Key Electronic Keyboard', 'https://co.xiapibuy.com/product/830824436/19154552130', 1]]"
58499,230306NMHET06M,CO,pet795.co,0010,f7tr6ta15e,2023-03-06 03:26:58,,已申请跟踪单号,0.001432,1948.0,624.0,1169.0,0.0,14300.0,0.0,0.0,0.0,0.0,3741.0,23181.0,8000.0,0.0,0.0,31181.0,23739.0,"[['GA4870-Cat Mint', 'https://co.xiapibuy.com/product/843457396/21739514441', 2]]"
58498,230306NM6PEX2T,CO,pet795.co,0010,f7tr6ta15e,2023-03-06 03:20:56,,线上支付,0.001432,1948.0,621.0,1169.0,0.0,14300.0,0.0,0.0,0.0,0.0,3738.0,23181.0,8000.0,0.0,0.0,31181.0,23765.0,"[['GA4870-Cat Mint', 'https://co.xiapibuy.com/product/843457396/21739514441', 2]]"
58460,230306NA2M49NX,BR,dx795.br,0010,pkg22oo3yr,2023-03-06 00:19:42,,已申请跟踪单号,1.3153,7.68,1.92,5.76,4.0,68.0,0.0,0.0,0.0,0.0,19.36,99.99,0.0,19.0,0.0,118.99,80.63,"[['HA9585-Blue-45cm/0.48kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
58455,230305N88P8T5B,VN,dx795.vn,0010,quyenha047,2023-03-05 23:47:19,,货到付款,0.000286,8349.0,4455.0,10120.0,3500.0,41300.0,0.0,0.0,0.0,0.0,26424.0,129999.0,8500.0,8500.0,0.0,146999.0,112075.0,"[['HA2320-Surprised Style-40cm(0.4kg)', 'https://vn.xiapibuy.com/product/822397021/20426501564', 1]]"
58448,230305N7NQMA1V,BR,dx795.br,0010,vvdaj2_iqd,2023-03-05 23:36:44,,线上支付,1.3153,11.7,2.92,8.77,0.0,74.6,0.0,0.0,0.0,0.0,23.39,146.21,0.0,13.0,0.0,159.21,122.82,"[['HA0900-SpongeBob SquarePants', 'https://br.xiapibuy.com/product/799345426/13096942216', 1], ['HA0900-Patrick', 'https://br.xiapibuy.com/product/799345426/13096942216', 1], ['HA9585-Blue-45cm/0.48kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
58421,230305N2QYV69W,BR,dx795.br,0010,fxhs7c1754,2023-03-05 22:08:30,,线上支付,1.3153,7.84,1.96,5.88,2.0,49.0,0.0,0.0,0.0,0.0,17.68,99.99,0.0,0.0,0.0,99.99,82.31,"[['HA9585-Blue-45cm/0.48kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
58414,230305N090KWJP,BR,dx795.br,0010,ojwd8a4wxx,2023-03-05 21:24:19,,已申请跟踪单号,1.3153,4.32,1.08,3.24,2.0,42.6,0.0,0.0,0.0,0.0,10.64,55.99,0.0,17.0,0.0,72.99,45.35,"[['HA9585-Blue-30cm/0.22kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
58392,230305MT761T5E,VN,dx795.vn,0010,gordonbastianis,2023-03-05 19:35:55,,货到付款,0.000286,1039.0,1080.0,1259.0,0.0,18800.0,0.0,0.0,0.0,0.0,3378.0,15735.0,17000.0,0.0,0.0,32735.0,29357.0,"[['', 'https://vn.xiapibuy.com/product/822397021/18025670773', 1]]"
58388,230305MSKXVY9F,VN,dx795.vn,0010,anhquatema,2023-03-05 19:25:11,,货到付款,0.000286,7841.0,3722.0,9504.0,3500.0,26000.0,0.0,0.0,0.0,0.0,24567.0,122300.0,2000.0,15000.0,0.0,139300.0,99733.0,"[['HA0422-Taiyaki-Pig (Plush New)-16cm', 'https://vn.xiapibuy.com/product/822397021/18728760245', 2]]"
58365,230305MJT2JPCA,CO,pet795.co,0010,c9l13mpqa1,2023-03-05 17:30:47,,已申请跟踪单号,0.001432,4027.0,1059.0,2416.0,0.0,27500.0,0.0,0.0,0.0,0.0,7502.0,47925.0,5000.0,0.0,0.0,52925.0,37771.0,"[['GA0073-Red-XL', 'https://co.xiapibuy.com/product/843457396/19535236877', 1]]"
58359,230305MFC1MP1N,VN,dx795.vn,0010,rdx38phym1,2023-03-05 16:21:49,,已申请跟踪单号,0.000286,4576.0,2387.0,5547.0,3500.0,23100.0,0.0,0.0,0.0,0.0,16010.0,72838.0,3000.0,12000.0,0.0,87838.0,59828.0,"[['HJ6836-NO.2', 'https://vn.xiapibuy.com/product/822397021/21134059235', 1]]"
58358,230305MEWVMS8Q,MX,dx795.mx,0010,vjshft,2023-03-05 16:13:53,,已申请跟踪单号,0.3572,11.99,3.2,0.0,0.0,95.0,0.0,0.0,0.0,0.0,15.19,119.93,40.0,0.0,0.0,159.93,144.74,"[['HX4777-Random color', 'https://mx.xiapibuy.com/product/822398749/18738346812', 1], ['HI9041-1pc Random Color', 'https://mx.xiapibuy.com/product/822398749/20928762121', 1], ['', 'https://mx.xiapibuy.com/product/822398749/20530068268', 1]]"
58355,230305MCXKYDN9,VN,pet795.vn,0010,tuynphan673,2023-03-05 15:38:31,,货到付款,0.000286,1561.0,1210.0,0.0,0.0,32700.0,0.0,0.0,0.0,0.0,2771.0,23659.0,13000.0,17000.0,0.0,53659.0,33888.0,"[['GD6514-Black', 'https://vn.xiapibuy.com/product/841366633/20137552929', 1]]"
58341,230305M4CNTYM2,VN,dx795.vn,0010,mycutedehuong,2023-03-05 13:05:18,,货到付款,0.000286,3306.0,1719.0,4008.0,3500.0,25100.0,24200.0,0.0,0.0,0.0,36733.0,53595.0,2000.0,15000.0,0.0,70595.0,33862.0,"[['HA1144-Pink-45cm', 'https://vn.xiapibuy.com/product/822397021/16680630876', 1], ['HA1144-Rose Red-45cm', 'https://vn.xiapibuy.com/product/822397021/16680630876', 1], ['HA1144-Blue-45cm', 'https://vn.xiapibuy.com/product/822397021/16680630876', 1]]"
58333,230305M15YER4B,MX,dx795.mx,0010,alexis_silva17,2023-03-05 12:07:51,,线上支付,0.3572,6.42,1.28,0.0,0.0,25.0,0.0,0.0,0.0,0.0,7.7,64.18,0.0,0.0,0.0,64.18,56.48,"[['HA6917-C', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1]]"
58325,230305KXUXHQQP,VN,pet795.vn,0010,b8v1dnxs3b,2023-03-05 11:26:29,,货到付款,0.000286,1561.0,847.0,0.0,0.0,19700.0,19700.0,0.0,0.0,0.0,22108.0,23659.0,2000.0,15000.0,0.0,40659.0,18551.0,"[['GD6514-Black', 'https://vn.xiapibuy.com/product/841366633/20137552929', 1]]"
